(498, 85)
(321, 82)
(13, 85)
(308, 311)
(542, 166)
(695, 234)
(758, 319)
(667, 63)
(73, 172)
(390, 9)
(401, 48)
(242, 118)
(188, 249)
(735, 44)
(184, 220)
(456, 495)
(643, 241)
(263, 351)
(187, 347)
(277, 291)
(701, 282)
(94, 328)
(519, 345)
(486, 243)
(218, 492)
(614, 345)
(179, 471)
(603, 141)
(223, 400)
(590, 369)
(624, 90)
(449, 462)
(53, 28)
(656, 336)
(31, 433)
(182, 388)
(1, 67)
(285, 321)
(8, 478)
(329, 224)
(354, 267)
(695, 220)
(712, 150)
(390, 193)
(618, 56)
(294, 257)
(131, 192)
(567, 114)
(41, 304)
(621, 399)
(326, 126)
(667, 230)
(304, 349)
(185, 492)
(115, 342)
(541, 403)
(550, 120)
(388, 370)
(743, 27)
(546, 122)
(285, 4)
(428, 373)
(716, 103)
(550, 390)
(454, 150)
(354, 147)
(458, 374)
(629, 239)
(650, 43)
(752, 93)
(622, 42)
(361, 402)
(591, 349)
(415, 116)
(714, 290)
(255, 350)
(224, 246)
(509, 264)
(693, 421)
(335, 98)
(234, 41)
(487, 299)
(310, 313)
(58, 334)
(703, 432)
(324, 228)
(467, 479)
(423, 495)
(133, 323)
(25, 287)
(236, 340)
(486, 235)
(442, 465)
(737, 151)
(406, 205)
(381, 312)
(554, 470)
(4, 26)
(400, 394)
(117, 369)
(189, 365)
(483, 385)
(453, 388)
(282, 473)
(724, 107)
(656, 155)
(380, 178)
(85, 88)
(23, 307)
(700, 78)
(680, 459)
(187, 134)
(145, 147)
(386, 354)
(521, 109)
(597, 31)
(681, 307)
(640, 163)
(489, 500)
(155, 237)
(262, 292)
(448, 139)
(183, 402)
(634, 212)
(384, 444)
(168, 443)
(430, 111)
(622, 369)
(85, 172)
(348, 59)
(493, 54)
(644, 114)
(657, 333)
(140, 253)
(16, 140)
(687, 154)
(215, 492)
(353, 423)
(707, 394)
(720, 70)
(367, 183)
(179, 383)
(734, 297)
(481, 319)
(218, 183)
(66, 247)
(305, 206)
(749, 216)
(405, 345)
(634, 6)
(93, 178)
(673, 139)
(209, 134)
(661, 148)
(130, 154)
(522, 240)
(79, 86)
(647, 459)
(35, 325)
(112, 142)
(372, 331)
(14, 2)
(603, 419)
(271, 442)
(10, 412)
(353, 377)
(698, 476)
(116, 403)
(171, 322)
(430, 63)
(122, 354)
(624, 115)
(42, 389)
(553, 415)
(360, 495)
(128, 335)
(360, 297)
(677, 393)
(289, 191)
(272, 241)
(449, 353)
(756, 146)
(68, 370)
(297, 255)
(650, 2)
(753, 502)
(133, 22)
(251, 33)
(633, 240)
(165, 166)
(751, 209)
(461, 416)
(599, 140)
(577, 426)
(709, 242)
(724, 260)
(348, 500)
(38, 314)
(447, 37)
(361, 101)
(111, 383)
(184, 435)
(105, 223)
(367, 380)
(592, 365)
(17, 80)
